Property Title,Location,Price,Description,Beds,Baths,Toilets,Agent Phone
,Area 11 Garki 2 Abuja,,"FOR RENT: Newly renovated 1 bedroom block of flat available for rent in garki, area 11, co.. Read more",1 beds,1 baths,2 Toilets,08102572578
3 BEDROOM HOUSE FOR RENT,3 BEDROOM HOUSE FOR RENT,"₦ 17,000,000/year","FOR RENT: A newly built world-class smart standard, pay and moving very sharp and spacious..  Read more",3 beds,4 baths,4 Toilets,08144417520
4 BEDROOM HOUSE FOR RENT,4 BEDROOM HOUSE FOR RENT,"₦ 13,000,000/year","FOR RENT: A newly built, world class smart standard pay and moving very sharp and spacious..  Read more",4 beds,5 baths,5 Toilets,08144417520
5 BEDROOM HOUSE FOR RENT,5 BEDROOM HOUSE FOR RENT,"₦ 18,000,000/year","FOR RENT: A newly built, world class smart standard pay and moving very sharp and spaciou..  Read more",5 beds,6 baths,6 Toilets,08144417520
4 BEDROOM HOUSE FOR RENT,4 BEDROOM HOUSE FOR RENT,"₦ 18,000,000/year",FOR RENT: A newly built world-class smart standard pay and moving very sharp and spacious ..  Read more,4 beds,5 baths,5 Toilets,08144417520
3 BEDROOM HOUSE FOR RENT,3 BEDROOM HOUSE FOR RENT,"₦ 20,000,000/year",FOR RENT: A NEWLY BUILT WORLD CLASS SMART STANDARD PAY AND MOVING VERY SHARP AND SPACIOUS ..  Read more,3 beds,4 baths,4 Toilets,08144417520
3 BEDROOM HOUSE FOR RENT,3 BEDROOM HOUSE FOR RENT,"₦ 4,000,000","FOR RENT: UNDER RENOVATION,WELL BUILT WORLD CLASS SMART STANDARD VERY SHARP AND SPACIOUS L..  Read more",3 beds,4 baths,4 Toilets,08144417520
5 BEDROOM HOUSE FOR RENT,5 BEDROOM HOUSE FOR RENT,"₦ 30,000,000/year",FOR RENT: A newly built world class smart standard pay and moving very sharp and spacious ..  Read more,5 beds,6 baths,6 Toilets,08144417520
4 BEDROOM HOUSE FOR RENT,4 BEDROOM HOUSE FOR RENT,"₦ 10,000,000/year","FOR RENT: UNDER RENOVATION, WELL BUILT WORLD CLASS SMART STANDARD VERY SHARP AND SPACIOUS ..  Read more",4 beds,5 baths,5 Toilets,08144417520
5 BEDROOM HOUSE FOR RENT,5 BEDROOM HOUSE FOR RENT,"₦ 15,000,000/year",FOR RENT: A NEWLY BUILT WORLD CLASS SMART STANDARD PAY AND MOVING VERY SHARP AND SPACIOUS ..  Read more,5 beds,6 baths,6 Toilets,08144417520
,Verdict Hospital Lekki Phase 1 Lekki Lagos,,FOR SALE: 4 Bedroom duplex with a room Bq in a mini estate Price:: 315m Features; - .. Read more,4 beds,4 baths,6 Toilets,08141599624
2 BEDROOM HOUSE FOR RENT,2 BEDROOM HOUSE FOR RENT,"₦ 15,000,000/year",FOR RENT: A NEWLY BUILT WORLD CLASS SMART STANDARD PAY AND MOVING VERY SHARP AND SPACIOUS..  Read more,2 beds,3 baths,3 Toilets,08144417520
