Property Title,Location,Price,Description,Beds,Baths,Toilets,Agent Phone
4 BEDROOM HOUSE FOR RENT,,"₦ 6,000,000/year",FOR RENT: Features: 2 living room Guest All room en-suite Fitted kitchen Tired acces..  Read more,4 beds,4 baths,5 Toilets,08036492297
4 BEDROOM HOUSE FOR RENT,,"₦ 7,500,000/year",FOR RENT: Feature:spacious living room Spacious room Balcony Family lounge Fitted ward..  Read more,4 beds,4 baths,5 Toilets,08036492297
4 BEDROOM HOUSE FOR RENT,,"₦ 10,000,000/year",FOR RENT: Features: very Spacious living room Ante room Ample parking space Standby ge..  Read more,4 beds,4 baths,5 Toilets,08036492297
4 BEDROOM HOUSE FOR RENT,,"₦ 9,000,000/year",FOR RENT: Features:big living room Dining area Fully fitted kitchen with pantry All ro..  Read more,4 beds,4 baths,5 Toilets,08036492297
3 BEDROOM HOUSE FOR RENT,,"₦ 7,000,000/year",FOR RENT: Features:very spacious parlour Dinning area Pop finishing Fitted wardrobe Al..  Read more,3 beds,3 baths,4 Toilets,08036492297
4 BEDROOM HOUSE FOR RENT,,"₦ 9,000,000/year",FOR RENT: Features:very spacious living room Spacious Dining Fitted kitchen Bq Balcon..  Read more,4 beds,4 baths,5 Toilets,08036492297
HOUSE FOR RENT,,"₦ 10,000,000/year",FOR RENT: Cooperate lease at jahi Gilmore. 5units of newly built 4 bedroom terrace dupl..  Read more,0 beds,0 baths,0 Toilets,08053979149
4 BEDROOM HOUSE FOR RENT,,"₦ 12,000,000/year",FOR RENT: This is a 4 Bedroom Terrace Duplex with bq located in a serene neighborhood at j..  Read more,4 beds,4 baths,4 Toilets,08036129334
3 BEDROOM HOUSE FOR RENT,,"₦ 3,500,000/year",FOR RENT: Newly built and tastefull and luxuries serviced 3 bedroom...it comes with standb..  Read more,3 beds,3 baths,4 Toilets,08036492297
,Old Ikoyi Ikoyi Lagos,,FOR RENT: DIRECT CASH-READY CLIENTS ONLY BEAUTIFUL FAMILY-FRIENDLY ENVIRONMENT! STRA.. Read more,4 beds,4 baths,5 Toilets,08124269637
4 BEDROOM HOUSE FOR RENT,,"₦ 7,000,000/year",FOR RENT: A well finished spacious 4 Bedroom terrace Duplex with 1room BQ in jahi district..  Read more,4 beds,4 baths,5 Toilets,08106600637
4 BEDROOM HOUSE FOR RENT,,"₦ 12,000,000/year",FOR RENT: A well-finished spacious 4 Bedroom terrace duplex with 1room BQ attached in jahi..  Read more,4 beds,4 baths,5 Toilets,08106600637
4 BEDROOM HOUSE FOR RENT,,"₦ 11,000,000/year",FOR RENT: A well finished spacious 4 Bedroom detached terrace Duplex with 1room BQ with it..  Read more,4 beds,4 baths,5 Toilets,08106600637
4 BEDROOM HOUSE FOR RENT,,"₦ 9,000,000/year","FOR RENT: A well finished, spacious serviced 4bedroom terrace with 1room BQ in jahi distri..  Read more",4 beds,4 baths,5 Toilets,08106600637
